Our Code,Partner Code,val,active, our code expire,partner code expire
MV20QKIVXFSD1I9T,AZ22JU4JF4K4U5PW,20,11/20/12,03/31/13,12/25/12
X8OFVB02NXT9VIH2,GVCHXQY8FFJKGMWA,20,11/20/12,03/31/13,12/25/12
GH3LILCR6Z6BWPNV,9VK8362BCIE4E1EK,20,11/20/12,03/31/13,12/25/12
4TI5Z6PK3E5IF194,25OIL2S30INCDAN8,20,11/20/12,03/31/13,12/25/12
LSD6SZH0WHZ0YJGV,JN9FQTFLF2FNL834,20,11/20/12,03/31/13,12/25/12
ENA51G2LF6125VND,RZS8WUPBI6CWZHBI,20,11/20/12,03/31/13,12/25/12
8EE3CY8WS8RLYZF5,AEOHWKSW6TMROCQ9,20,11/20/12,03/31/13,12/25/12
EN7N36QFZ3EP0SWT,SWM3RTTEI061G6RR,20,11/20/12,03/31/13,12/25/12
FPQO5W0GR0KJOKQA,TA59BI7AWYBTT0ZZ,20,11/20/12,03/31/13,12/25/12
0ZBU6JG1DSR7C40R,M9G8M9CI5QRL59LD,20,11/20/12,03/31/13,12/25/12
KAOPSBMVIN7YEMA5,Z9WT3Z7EEYAJBGZJ,20,11/20/12,03/31/13,12/25/12
9XKEZXQANKYS4OOT,R6QAMLI7SHGCWYSE,20,11/20/12,03/31/13,12/25/12
YYJWSW5RJHWT43DR,RZ64CSDDWFO3R7GW,20,11/20/12,03/31/13,12/25/12
CU3O7H8G7E124EXC,XD5XI5Q13VAELDOH,20,11/20/12,03/31/13,12/25/12
3S673TZ3RLQ6USOM,GMGNGUM8SB7U3QUB,20,11/20/12,03/31/13,12/25/12
O4E5BT5PQZ91X0MU,8W1YO0TE1ACYCAQ2,20,11/20/12,03/31/13,12/25/12
FDOCM5GMG81F5ZEV,KYAWGUR462ZQQ6RA,20,11/20/12,03/31/13,12/25/12
JD264H5QI8WLLJQG,FTQ0OUDOMEMS9BKD,20,11/20/12,03/31/13,12/25/12
ULEAYJ078Z589QCW,CJCQOB8M4QP60EZ4,20,11/20/12,03/31/13,12/25/12
TYARZXQK1UBPO5GY,CJ2SXPSAWDBAMZ9P,20,11/20/12,03/31/13,12/25/12
9MBL6N6UOEGZYCR7,MIF7X8DPJ70X8AH2,20,11/20/12,03/31/13,12/25/12
FALMWL81I4ZY6J8V,BQ8F7Z2ITKXCUX6W,20,11/20/12,03/31/13,12/25/12
SR0IQ0KU76488ME0,UU9B8USNPKVCRHFS,20,11/20/12,03/31/13,12/25/12
M042AX9O3N8CYLKT,PPPHHEFYNBHBPBMO,20,11/20/12,03/31/13,12/25/12
2BLJ19VR6S92MLZK,TJ05XDF458IIRFKS,20,11/20/12,03/31/13,12/25/12
L9GY2U4FGTF7QVRH,2I4L2I7MSIRKLS7Q,20,11/20/12,03/31/13,12/25/12
O7XLSK4JXVLS4W6C,HMUWCLK67C1JKEA3,20,11/20/12,03/31/13,12/25/12
E242YK73Y2IXRNMG,AD25JXOFAEVGNHPN,20,11/20/12,03/31/13,12/25/12
I26K6YWB83SZJ11D,WYYECD8DFJT30MPV,20,11/20/12,03/31/13,12/25/12
T954RK2SZCTMDZ9H,FPF3W3HDRHYH0P59,20,11/20/12,03/31/13,12/25/12
3YGVBV9ZYNDV6O1D,JAI1XEJUJJXK3S4X,20,11/20/12,03/31/13,12/25/12
NA0IQ2R59EV59R7J,4KJ3IOTIMT4WS9UA,20,11/20/12,03/31/13,12/25/12
0JO0R0QLJC93KWG5,GK3QWUTLT8GHGKTY,20,11/20/12,03/31/13,12/25/12
JTC3EMT1WVFV80DK,NN4JH3SXFRP2E8PR,20,11/20/12,03/31/13,12/25/12
QSQ5JR3SGZR610B7,I20YU37HATXSY365,20,11/20/12,03/31/13,12/25/12
0EI673J1TTY1B9KB,UAAJMMB8A5K06LVJ,20,11/20/12,03/31/13,12/25/12
UAQDJ3WKA3BLMG4K,2MZJIHMWELO1E69K,20,11/20/12,03/31/13,12/25/12
NJQ2T61FXZLMH3VL,34ULH2GGGA1IC7GJ,20,11/20/12,03/31/13,12/25/12
9EDIIEXGLVID7TNX,NIKSGFQSU70QNP55,20,11/20/12,03/31/13,12/25/12
SIFZ93UNJ1NF8GPG,Y0OR0P4ZG98OXVFX,20,11/20/12,03/31/13,12/25/12
48VKOQQ2WP2RU9JT,O00WASQ2QIEZRUJ0,20,11/20/12,03/31/13,11/25/12
TJ3NN80DWT9PSFD7,T0J7M3ZL8YX5PMPF,20,11/20/12,03/31/13,11/25/12
QMVKDOHY0IU0A3SC,GAFFMRXSGHFFTIQZ,20,11/20/12,03/31/13,11/25/12
7C85BDS503ANJLHJ,G4E6TSM77CODCKJW,20,11/20/12,03/31/13,11/25/12
N5YYQWW5NHTUBQHR,CCX6PLGPKA48PQC0,20,11/20/12,03/31/13,11/25/12
MCP9MFKBBSOZPOQ2,MLK2S8BWA1V4KXLV,20,11/20/12,03/31/13,11/25/12
3H06V004DNJ8RT3G,XAJ9V1W08GLL88HU,20,11/20/12,03/31/13,11/25/12
92YHPIPOIEXKPDJY,TXICJW3EM1HN7FS3,20,11/20/12,03/31/13,11/25/12
CL2TCMVGXWQB1WHR,3TM6AEIDMV1AHMPT,20,11/20/12,03/31/13,11/25/12
Y2ZHFVEFET9LB9YE,O38BCS4BNAWRUMD4,20,11/20/12,03/31/13,11/25/12
GSY1S18HIBC1IN9O,AAS1GBORJ4VZGMDH,20,11/20/12,03/31/13,11/25/12
YCGE06GB5C4WXEDX,DHX00B59Z5P6QLBH,20,11/20/12,03/31/13,11/25/12
DF2F83XM1MYTMFIM,9LOA82CQJH17UIPE,20,11/20/12,03/31/13,11/25/12
7JA3JH8G1NDIM2TD,Y72JGI161GH8ENHI,20,11/20/12,03/31/13,11/25/12
KCR9KAXVM9QUQ8NJ,0EGLAW8TLXKOCNAC,20,11/20/12,03/31/13,11/25/12
R9CYU7N5RH875R2X,X34RR8KPNUA3D6XD,20,11/20/12,03/31/13,11/25/12
B5ULW9T768P36CZK,S70S1C9ZU9FWWOYB,20,11/20/12,03/31/13,11/25/12
FSF07T44PRC2OBV4,I2A2CZV7HT6MT7A4,20,11/20/12,03/31/13,11/25/12
Y9ED0FST5JYKOU3G,GP0TF2ZDZCUGLOFS,20,11/20/12,03/31/13,11/25/12
WR2G7OGWAOMHC0RB,3S1ZRFO8MKZ6J4VT,20,11/20/12,03/31/13,11/25/12
P9FL3L1CSZ8P9GUN,C1181CHCH1GTENK0,20,11/20/12,03/31/13,11/25/12
IZCPNGZ2R1X3AWM0,5BNH3479N73UYV19,20,11/20/12,03/31/13,11/25/12
O1BN77CPEQLA8PSN,HR4TKAQFBFCV1TXQ,20,11/20/12,03/31/13,11/25/12
7Q2UANPGT14ZV7MF,E0RYZSN62IBNOJSO,20,11/20/12,03/31/13,11/25/12
9CIRVMVCMLVBXJ7U,CNF6M0LRGC2YPP5O,20,11/20/12,03/31/13,11/25/12
NT07824TI2CHA001,714E5Y627XQW8DTU,20,11/20/12,03/31/13,11/25/12
DQBCPHEZ2TG649TE,B8MGCMZPQKO19VBN,20,11/20/12,03/31/13,11/25/12
Z8566IVKVGRA3FS7,HWIUXYD7O0AMIC5A,20,11/20/12,03/31/13,11/25/12
8JZRWI3JBIET6BGB,4PKPMQ1HXN41P514,20,11/20/12,03/31/13,11/25/12
WZYR45PLJHPUEVUL,LAGV6415KQ6YTWVZ,20,11/20/12,03/31/13,11/25/12
VIP3OX6SYMQBD3V0,VQ7QAA9CWHGF7952,20,11/20/12,03/31/13,11/25/12
LVFF1G9IIGOHDQPJ,JRYMYRKJGXOP4SOC,20,11/20/12,03/31/13,11/25/12
OYFLFKVHVGOKIN2Q,M26UJ1OOWCJV1I1A,20,11/10/12,03/31/13,11/25/12
CBRZSNFP9QXSXLAA,OKSPGJMNAFNGH7MI,20,11/10/12,03/31/13,11/25/12
XOOZQBK2LLIF10TX,9JTOTLNGLIP69D27,20,11/10/12,03/31/13,11/25/12
WA4JVSYKXU0NSRSG,SKQRIG1R1SAED9WN,20,11/10/12,03/31/13,11/25/12
TRIS5VMBQ66QX50Q,U6QTU0QM19QGDCPG,20,11/10/12,03/31/13,11/25/12
QW7I8Z7PJQZ58CLB,IIZ3J9T451QF5P2U,20,11/10/12,03/31/13,11/25/12
APXH9PP7ZY03DCA1,GERBK5YLZC474RQ9,20,11/10/12,03/31/13,10/20/12
UILJFRR7VN91C94T,PSZ0204A7KXXVFVM,20,11/10/12,03/31/13,10/20/12
S53DLOHYKTKRN1XK,7YB8MAWMTUOVO7Y9,20,11/10/12,03/31/13,10/20/12
0Q7CQHQN1BO9MYE1,H89W3F0ZHSRAQ6BG,20,11/10/12,03/31/13,10/20/12
GB2DQXXPESN9H76J,WHO4VD0KEYNIR02N,20,11/10/12,03/31/13,10/20/12
TT6N6PI6R5VCN24N,9CNS56ZGR5OD7P2G,20,11/10/12,03/31/13,11/25/12
AFQU3Q845TRAXGWI,GXU800NMDRXA6JCW,20,11/10/12,03/31/13,11/25/12
27TVF9WYKULHN237,Q2PD2JDPNH1I9IBV,20,11/10/12,03/31/13,11/25/12
9VFNHZVNANXLR4RX,6G7WNQSH6W7IWK2L,20,11/10/12,03/31/13,11/25/12
5NIHPWIQ8R6DCQJE,49CE235DB7VW6LTA,20,11/10/12,03/31/13,11/25/12
DHRBHITJ1285D4XM,QW94JYWXLDJ4TZJB,20,11/10/12,03/31/13,11/25/12
UDP2PDJHTDVC123A,QUR205MDC0TJJPUZ,20,11/10/12,03/31/13,11/25/12
EJZT0HJJ47UT2QKT,H3Q7GCVBNCTBLCLR,20,11/10/12,03/31/13,10/20/12
V3VISNK3F6L7ZECM,P47JSFZX71KLKDMQ,20,11/10/12,03/31/13,10/20/12
BXV6ENBZDW3K23FS,3Y5K9XSZ6TM2VI7T,20,11/10/12,03/31/13,10/20/12
CWNM2KJ0938AK5XD,43LMEW7RHRPSH9CB,20,11/10/12,03/31/13,10/20/12
S8NJJO1C6GS8XO6P,5YW3AUO92KBRGOGF,20,11/10/12,03/31/13,10/20/12
8UUGQDJ6KIM50C4R,N3ZUVTT05TU511FY,20,11/10/12,03/31/13,11/25/12
